Ep: 70/10000 | Steps: 18 | Score: 0 | Total Reward: -68.0 | Epsilon: 0.9656 | Avg Score (last 100): 0.09 | Memory: 1089
Ep: 80/10000 | Steps: 7 | Score: 0 | Total Reward: -57.0 | Epsilon: 0.9608 | Avg Score (last 100): 0.07 | Memory: 1223
Ep: 90/10000 | Steps: 37 | Score: 1 | Total Reward: -17.0 | Epsilon: 0.9560 | Avg Score (last 100): 0.09 | Memory: 1424
Ep: 100/10000 | Steps: 13 | Score: 0 | Total Reward: -63.0 | Epsilon: 0.9512 | Avg Score (last 100): 0.08 | Memory: 1577
Ep: 110/10000 | Steps: 16 | Score: 0 | Total Reward: -66.0 | Epsilon: 0.9465 | Avg Score (last 100): 0.08 | Memory: 1727
Ep: 120/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.9418 | Avg Score (last 100): 0.09 | Memory: 1834
Ep: 130/10000 | Steps: 18 | Score: 0 | Total Reward: -68.0 | Epsilon: 0.9371 | Avg Score (last 100): 0.11 | Memory: 1983
Ep: 140/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.9324 | Avg Score (last 100): 0.12 | Memory: 2111
Ep: 150/10000 | Steps: 7 | Score: 0 | Total Reward: -57.0 | Epsilon: 0.9277 | Avg Score (last 100): 0.12 | Memory: 2224
Ep: 160/10000 | Steps: 17 | Score: 0 | Total Reward: -67.0 | Epsilon: 0.9231 | Avg Score (last 100): 0.11 | Memory: 2406
Ep: 170/10000 | Steps: 7 | Score: 0 | Total Reward: -57.0 | Epsilon: 0.9185 | Avg Score (last 100): 0.12 | Memory: 2559
Ep: 180/10000 | Steps: 7 | Score: 0 | Total Reward: -57.0 | Epsilon: 0.9139 | Avg Score (last 100): 0.14 | Memory: 2701
Ep: 190/10000 | Steps: 25 | Score: 1 | Total Reward: -55.0 | Epsilon: 0.9094 | Avg Score (last 100): 0.14 | Memory: 2859
Ep: 200/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.9048 | Avg Score (last 100): 0.14 | Memory: 3003
Ep: 210/10000 | Steps: 38 | Score: 1 | Total Reward: -18.0 | Epsilon: 0.9003 | Avg Score (last 100): 0.17 | Memory: 3141
Ep: 220/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8958 | Avg Score (last 100): 0.16 | Memory: 3294
Ep: 230/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8913 | Avg Score (last 100): 0.15 | Memory: 3439
Ep: 240/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8869 | Avg Score (last 100): 0.16 | Memory: 3555
Ep: 250/10000 | Steps: 9 | Score: 0 | Total Reward: -59.0 | Epsilon: 0.8825 | Avg Score (last 100): 0.18 | Memory: 3688
Ep: 260/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8781 | Avg Score (last 100): 0.17 | Memory: 3816
Ep: 270/10000 | Steps: 8 | Score: 0 | Total Reward: -58.0 | Epsilon: 0.8737 | Avg Score (last 100): 0.14 | Memory: 3967
Ep: 280/10000 | Steps: 6 | Score: 0 | Total Reward: -56.0 | Epsilon: 0.8693 | Avg Score (last 100): 0.13 | Memory: 4106
Ep: 290/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8650 | Avg Score (last 100): 0.12 | Memory: 4226
Ep: 300/10000 | Steps: 20 | Score: 0 | Total Reward: -70.0 | Epsilon: 0.8607 | Avg Score (last 100): 0.13 | Memory: 4374
Ep: 310/10000 | Steps: 16 | Score: 0 | Total Reward: -66.0 | Epsilon: 0.8564 | Avg Score (last 100): 0.11 | Memory: 4513
Ep: 320/10000 | Steps: 23 | Score: 0 | Total Reward: -73.0 | Epsilon: 0.8521 | Avg Score (last 100): 0.13 | Memory: 4611
Ep: 330/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8479 | Avg Score (last 100): 0.15 | Memory: 4774
Ep: 340/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8436 | Avg Score (last 100): 0.15 | Memory: 4891
Ep: 350/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8394 | Avg Score (last 100): 0.13 | Memory: 4972
Ep: 360/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8352 | Avg Score (last 100): 0.14 | Memory: 5090
Ep: 370/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8311 | Avg Score (last 100): 0.19 | Memory: 5232
Ep: 380/10000 | Steps: 11 | Score: 0 | Total Reward: -61.0 | Epsilon: 0.8269 | Avg Score (last 100): 0.18 | Memory: 5377
Ep: 390/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.8228 | Avg Score (last 100): 0.17 | Memory: 5520
Ep: 400/10000 | Steps: 23 | Score: 0 | Total Reward: -73.0 | Epsilon: 0.8187 | Avg Score (last 100): 0.16 | Memory: 5681
Ep: 410/10000 | Steps: 20 | Score: 0 | Total Reward: -70.0 | Epsilon: 0.8146 | Avg Score (last 100): 0.16 | Memory: 5826
Ep: 420/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.8105 | Avg Score (last 100): 0.13 | Memory: 5976
