Ep (Global): 10/100000 (Sesión: 10) | Steps: 15 | Score: 1 | Total Reward Ep: -45.0 | Epsilon: 0.9950 | Avg Score (100ep): 0.10 | Memory: 148
Ep (Global): 20/100000 (Sesión: 20) | Steps: 16 | Score: 0 | Total Reward Ep: -66.0 | Epsilon: 0.9900 | Avg Score (100ep): 0.10 | Memory: 258
Ep (Global): 30/100000 (Sesión: 30) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.9851 | Avg Score (100ep): 0.13 | Memory: 418
Ep (Global): 40/100000 (Sesión: 40) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.9802 | Avg Score (100ep): 0.10 | Memory: 556
Ep (Global): 50/100000 (Sesión: 50) | Steps: 19 | Score: 0 | Total Reward Ep: -69.0 | Epsilon: 0.9753 | Avg Score (100ep): 0.08 | Memory: 677
Ep (Global): 60/100000 (Sesión: 60) | Steps: 9 | Score: 1 | Total Reward Ep: -39.0 | Epsilon: 0.9704 | Avg Score (100ep): 0.12 | Memory: 822
Ep (Global): 70/100000 (Sesión: 70) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.9656 | Avg Score (100ep): 0.14 | Memory: 976
Ep (Global): 80/100000 (Sesión: 80) | Steps: 15 | Score: 0 | Total Reward Ep: -65.0 | Epsilon: 0.9608 | Avg Score (100ep): 0.12 | Memory: 1079
Ep (Global): 90/100000 (Sesión: 90) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.9560 | Avg Score (100ep): 0.11 | Memory: 1250
Ep (Global): 100/100000 (Sesión: 100) | Steps: 8 | Score: 0 | Total Reward Ep: -58.0 | Epsilon: 0.9512 | Avg Score (100ep): 0.10 | Memory: 1327
Ep (Global): 110/100000 (Sesión: 110) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.9465 | Avg Score (100ep): 0.10 | Memory: 1463
Ep (Global): 120/100000 (Sesión: 120) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.9418 | Avg Score (100ep): 0.09 | Memory: 1617
Ep (Global): 130/100000 (Sesión: 130) | Steps: 10 | Score: 0 | Total Reward Ep: -60.0 | Epsilon: 0.9371 | Avg Score (100ep): 0.07 | Memory: 1814
Ep (Global): 140/100000 (Sesión: 140) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.9324 | Avg Score (100ep): 0.07 | Memory: 1968
Ep (Global): 150/100000 (Sesión: 150) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.9277 | Avg Score (100ep): 0.08 | Memory: 2112
Ep (Global): 160/100000 (Sesión: 160) | Steps: 11 | Score: 0 | Total Reward Ep: -61.0 | Epsilon: 0.9231 | Avg Score (100ep): 0.07 | Memory: 2243
Ep (Global): 170/100000 (Sesión: 170) | Steps: 13 | Score: 0 | Total Reward Ep: -63.0 | Epsilon: 0.9185 | Avg Score (100ep): 0.05 | Memory: 2392
Ep (Global): 180/100000 (Sesión: 180) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.9139 | Avg Score (100ep): 0.06 | Memory: 2568
Ep (Global): 190/100000 (Sesión: 190) | Steps: 21 | Score: 0 | Total Reward Ep: -71.0 | Epsilon: 0.9094 | Avg Score (100ep): 0.07 | Memory: 2707
