C:\Users\hcost\Desktop\Snake IA\snake-QL>pipenv run python trainer_v2.py --no-visualize --reset --episodes=10000 
No se encontró 'trained_data/snake_q_table_v2.pkl'. Se iniciará un nuevo entrenamiento desde cero.
Fichero de Tabla Q no encontrado en trained_data/snake_q_table_v2.pkl. Se usará una tabla vacía y epsilon inicial.
Epsilon reiniciado a: 1.0000 debido a --reset.
Iniciando entrenamiento para 10000 episodios...
Visualización: Desactivada
Ep: 100/10000 | Steps: 15 | Score: 0 | Total Reward: -51.5 | Epsilon: 0.9048 | Avg Score (actual): 1.10
Ep: 200/10000 | Steps: 13 | Score: 0 | Total Reward: -51.3 | Epsilon: 0.8186 | Avg Score (actual): 2.10
Ep: 300/10000 | Steps: 43 | Score: 20 | Total Reward: -34.3 | Epsilon: 0.7407 | Avg Score (actual): 3.90
Ep: 400/10000 | Steps: 37 | Score: 20 | Total Reward: -33.7 | Epsilon: 0.6702 | Avg Score (actual): 5.40
Ep: 500/10000 | Steps: 25 | Score: 10 | Total Reward: -42.5 | Epsilon: 0.6064 | Avg Score (actual): 6.20
Ep: 600/10000 | Steps: 36 | Score: 30 | Total Reward: -23.6 | Epsilon: 0.5486 | Avg Score (actual): 11.80
Ep: 700/10000 | Steps: 14 | Score: 20 | Total Reward: -31.4 | Epsilon: 0.4964 | Avg Score (actual): 12.50
Ep: 800/10000 | Steps: 111 | Score: 70 | Total Reward: -41.1 | Epsilon: 0.4491 | Avg Score (actual): 15.50
Ep: 900/10000 | Steps: 14 | Score: 10 | Total Reward: -41.4 | Epsilon: 0.4064 | Avg Score (actual): 16.30
Ep: 1000/10000 | Steps: 28 | Score: 30 | Total Reward: -72.8 | Epsilon: 0.3677 | Avg Score (actual): 19.10
Tabla Q y epsilon guardados en trained_data/snake_q_table_v2.pkl
Ep: 1100/10000 | Steps: 1 | Score: 0 | Total Reward: -100.1 | Epsilon: 0.3327 | Avg Score (actual): 23.00
Ep: 1200/10000 | Steps: 27 | Score: 10 | Total Reward: -92.7 | Epsilon: 0.3010 | Avg Score (actual): 21.20
Ep: 1300/10000 | Steps: 17 | Score: 10 | Total Reward: -41.7 | Epsilon: 0.2724 | Avg Score (actual): 29.00
Ep: 1400/10000 | Steps: 26 | Score: 30 | Total Reward: -22.6 | Epsilon: 0.2464 | Avg Score (actual): 34.40
